char,level
一,1
七,1
三,1
上,1
下,1
不,1
东,1
两,1
个,1
中,1
么,1
九,1
也,1
习,1
书,1
买,1
了,1
事,1
二,1
五,1
些,1
京,1
人,1
什,1
今,1
介,1
从,1
他,1
们,1
休,1
会,1
住,1
体,1
作,1
你,1
候,1
假,1
做,1
儿,1
元,1
先,1
八,1
六,1
关,1
兴,1
再,1
写,1
冷,1
净,1
准,1
几,1
出,1
分,1
别,1
到,1
前,1
动,1
包,1
北,1
医,1
十,1
午,1
半,1
南,1
去,1
友,1
口,1
叫,1
右,1
号,1
吃,1
同,1
名,1
后,1
吗,1
吧,1
听,1
告,1
呢,1
和,1
哥,1
哪,1
唱,1
商,1
喜,1
喝,1
四,1
回,1
国,1
图,1
在,1
地,1
场,1
坏,1
坐,1
块,1
备,1
外,1
多,1
大,1
天,1
太,1
女,1
奶,1
她,1
好,1
妈,1
妹,1
姐,1
子,1
字,1
学,1
孩,1
客,1
家,1
对,1
小,1
少,1
就,1
山,1
岁,1
工,1
左,1
差,1
师,1
帮,1
常,1
干,1
年,1
床,1
店,1
开,1
弟,1
影,1
很,1
得,1
忘,1
忙,1
快,1
怎,1
息,1
您,1
想,1
慢,1
我,1
房,1
手,1
打,1
找,1
拿,1
放,1
教,1
文,1
新,1
方,1
旁,1
日,1
早,1
时,1
明,1
星,1
昨,1
是,1
晚,1
最,1
月,1
有,1
朋,1
服,1
期,1
本,1
机,1
条,1
来,1
杯,1
果,1
树,1
校,1
样,1
桌,1
楼,1
次,1
欢,1
歌,1
正,1
比,1
毛,1
气,1
水,1
汉,1
汽,1
没,1
洗,1
渴,1
火,1
点,1
热,1
爱,1
爷,1
爸,1
牛,1
玩,1
现,1
班,1
球,1
生,1
用,1
电,1
男,1
病,1
白,1
百,1
的,1
看,1
真,1
着,1
睡,1
知,1
票,1
穿,1
站,1
笑,1
第,1
等,1
答,1
米,1
系,1
累,1
绍,1
给,1
网,1
老,1
考,1
肉,1
能,1
脑,1
花,1
茶,1
菜,1
蛋,1
行,1
衣,1
西,1
要,1
见,1
视,1
觉,1
认,1
记,1
识,1
诉,1
试,1
话,1
语,1
说,1
请,1
读,1
课,1
谁,1
谢,1
